Id;Nome;Descrizione;;
1;My Sushi House;Un ristorante nato per regalare  ai propri clienti migliori esperienze della cucina nipponica ma anche quella della cucina cinese. Offriamo il menù con la formula All You Can Eat con pietanze giapponesi. Dalla selezione accurata delle materie prime al controllo severissimo degli ingredienti ed infine la trasformazione di quest’ultimi in dei piatti squisiti rappresentano il processo fondamentale del nostro lavoro, e indubbiamente rappresentano anche la nostra passione e il nostro desiderio di offrirvi il meglio!;;
2;Sushiko;Scopri Il mondo di Sushiko: la catena di ristoranti con Il miglior sushi all you can eat in Italia. Quando il sushi è un piacere a cui non puoi rinunciare, Sushiko è la scelta giusta. Ambienti nuovi e moderni, un menu con proposte di sushi tradizionale, creativo e tante promozioni;;
3;Sushi Lin;Il menù alla carta conta tantissimi piatti: Sushi tradizionali e creativi, Sashimi e una grande varietà di ricette italiane. Con la formula ALL YOU CAN EAT, disponibile sia a pranzo che a cena, mangi tutto quello che vuoi e il prezzo non cambia.;;
4;Chopstick;Dalla nostra passione per il buono e per le materie prime di alta qualità, nasce una cucina tutta da scoprire che vi porterà a conoscere piatti tipici della cucina orientale preparati con cura e sapienza e uniti a prodotti tipici della gastronomia italiana. ;;
5;Susa Sushi;SUSA Sushi porta in città le specialità della cucina tipica giapponese. Sushi, sashimi, temaki, maki e tempura. Veniteci a trovare nel nostro ristorante per assaporare gli autentici sapori d’oriente in un clima accogliente e riservato.;;
6;Sushi Maison;Se adori il Sushi o le specialità della cucina orientale Sushi Maison è il posto ideale in cui pranzare o cenare tutti i giorni della settimana. Grazie alla nostra formula All You Can Eat puoi ordinare tutti i piatti che desideri ad un prezzo fisso, il tutto comodamente servito al tuo tavolo dal nostro personale di sala. Da Sushi Maison puoi assaporare i migliori piatti della cucina giapponese e le ultime novità della più innovativa cucina fusion.;;
7;Sushi Messina;Il nostro ristorante propone da sempre una cucina varia e leggera, offrendo un ampio ventaglio di scelta fra una selezione di piatti delle più grandi tradizioni dell’estremo Oriente.;;
8;Una Sushi ;UNA Sushi è il luogo ideale per coloro che sono alla ricerca di un ristorante accessibile a tutti grazie alla formula “All You Can eat”, senza rinunciare alla qualità, al gusto e all’eleganza essenziale che caratterizza la tradizione e la cultura asiatica.;;
9;Kobe;KOBE è un grazioso ristorante giapponese. Il Kobe è una destinazione nota e apprezzata non solo dagli appassionati della cucina giapponese, ma anche da coloro che si avvicinano per la prima volta al sushi e al sashimi. Numerosissime sono infatti le proposte culinarie: non solo il classico sushi e sashimi, zuppe, insalate, tantissimi roll, ma anche i piatti caldi sono deliziosi;;
10;Sushi Zen;Sushi Zen vi offre la possibilità di consumare il vostro pasto con la modalità All You Can Eat con una deliziosa vista lago. Inoltre per chi non ci conosce ancora ,durante la stagione estiva è possibile scegliere il tavolo sulla terrazza che si sporge direttamente sul lago.;;
